month,tariff_percent
2015-01,3
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,3
2015-08,3
2015-09,3
2015-10,3
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,3
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,3
2016-12,3
2017-01,3
2017-02,3
2017-03,3
2017-04,3
2017-05,3
2017-06,3
2017-07,3
2017-08,3
2017-09,3
2017-10,3
2017-11,3
2017-12,3
2018-01,3
2018-02,3
2018-03,3
2018-04,3
2018-05,3
2018-06,3
2018-07,28
2018-08,28
2018-09,28
2018-10,28
2018-11,28
2018-12,28
2019-01,28
2019-02,28
2019-03,28
2019-04,28
2019-05,28
2019-06,28
2019-07,28
2019-08,28
2019-09,28
2019-10,28
2019-11,28
2019-12,28
2020-01,3
2020-02,3
2020-03,3
2020-04,3
2020-05,3
2020-06,3
2020-07,3
2020-08,3
2020-09,3
2020-10,3
2020-11,3
2020-12,3
2021-01,3
2021-02,3
2021-03,3
2021-04,3
2021-05,3
2021-06,3
2021-07,3
2021-08,3
2021-09,3
2021-10,3
2021-11,3
2021-12,3
2022-01,3
2022-02,3
2022-03,3
2022-04,3
2022-05,3
2022-06,3
2022-07,3
2022-08,3
2022-09,3
2022-10,3
2022-11,3
2022-12,3
2023-01,3
2023-02,3
2023-03,3
2023-04,3
2023-05,3
2023-06,3
2023-07,3
2023-08,3
2023-09,3
2023-10,3
2023-11,3
2023-12,3
2024-01,3
2024-02,3
2024-03,3
2024-04,3
2024-05,3
2024-06,3
2024-07,3
2024-08,3
2024-09,3
2024-10,3
2024-11,3
2024-12,3
2025-01,3
2025-02,3
2025-03,13
2025-04,87
2025-05,13
2025-06,13
2025-07,13
2025-08,13
