date,scenario,quantity,tariff_rate
2025-08-01,Baseline,102087.21396544461,0.025
2025-09-01,Baseline,83062.7993234837,0.025
2025-10-01,Baseline,90912.83373347954,0.025
2025-11-01,Baseline,93505.20612810778,0.025
2025-12-01,Baseline,95183.72628989942,0.025
2026-01-01,Baseline,76949.61503357177,0.025
2026-02-01,Baseline,69531.68883834673,0.025
2026-03-01,Baseline,75344.60842991671,0.025
2026-04-01,Baseline,61383.45210012501,0.025
2026-05-01,Baseline,57655.654169680296,0.025
2026-06-01,Baseline,54842.79814105779,0.025
2026-07-01,Baseline,64604.7200272005,0.025
2025-08-01,Moderate,102395.27150460692,0.45
2025-09-01,Moderate,83566.1049008798,0.45
2025-10-01,Moderate,91742.45679561612,0.45
2025-11-01,Moderate,94647.48946667858,0.45
2025-12-01,Moderate,96643.07470004592,0.45
2026-01-01,Moderate,78371.0819621139,0.45
2026-02-01,Moderate,71036.27556476316,0.45
2026-03-01,Moderate,77215.46511949736,0.45
2026-04-01,Moderate,63105.15708096458,0.45
2026-05-01,Moderate,59459.82653002918,0.45
2026-06-01,Moderate,56738.30027028338,0.45
2026-07-01,Moderate,67050.61627668419,0.45
2025-08-01,High,102587.77031297631,0.8
2025-09-01,High,83881.383894538,0.8
2025-10-01,High,92263.43108485072,0.8
2025-11-01,High,95366.58503982663,0.8
2025-12-01,High,97564.06318517397,0.8
2026-01-01,High,79270.41297940187,0.8
2026-02-01,High,71990.59292913768,0.8
2026-03-01,High,78405.10117768003,0.8
2026-04-01,High,64202.73551746395,0.8
2026-05-01,High,60612.916900689466,0.8
2026-06-01,High,57952.872559972224,0.8
2026-07-01,High,68621.90574828086,0.8
