date,quantity,tariff_rate,scenario
2025-08-01,102087.21396544461,0.025,Baseline
2025-09-01,83062.7993234837,0.025,Baseline
2025-10-01,90912.83373347954,0.025,Baseline
2025-11-01,93505.20612810778,0.025,Baseline
2025-12-01,95183.72628989942,0.025,Baseline
2026-01-01,76949.61503357177,0.025,Baseline
2026-02-01,69531.68883834673,0.025,Baseline
2026-03-01,75344.60842991671,0.025,Baseline
2026-04-01,61383.45210012501,0.025,Baseline
2026-05-01,57655.654169680296,0.025,Baseline
2026-06-01,54842.79814105779,0.025,Baseline
2026-07-01,64604.7200272005,0.025,Baseline
2025-08-01,102395.27150460692,0.45,Moderate
2025-09-01,83566.1049008798,0.45,Moderate
2025-10-01,91742.45679561612,0.45,Moderate
2025-11-01,94647.48946667858,0.45,Moderate
2025-12-01,96643.07470004592,0.45,Moderate
2026-01-01,78371.0819621139,0.45,Moderate
2026-02-01,71036.27556476316,0.45,Moderate
2026-03-01,77215.46511949736,0.45,Moderate
2026-04-01,63105.15708096458,0.45,Moderate
2026-05-01,59459.82653002918,0.45,Moderate
2026-06-01,56738.30027028338,0.45,Moderate
2026-07-01,67050.61627668419,0.45,Moderate
2025-08-01,102587.77031297631,0.8,High
2025-09-01,83881.383894538,0.8,High
2025-10-01,92263.43108485072,0.8,High
2025-11-01,95366.58503982663,0.8,High
2025-12-01,97564.06318517397,0.8,High
2026-01-01,79270.41297940187,0.8,High
2026-02-01,71990.59292913768,0.8,High
2026-03-01,78405.10117768003,0.8,High
2026-04-01,64202.73551746395,0.8,High
2026-05-01,60612.916900689466,0.8,High
2026-06-01,57952.872559972224,0.8,High
2026-07-01,68621.90574828086,0.8,High
