Impact Type,Value,Nature
Import Decline,$15.40B,Trade Contraction
Export Decline,$2.38B,Trade Contraction
Import Price Increase,18.80%,Cost Pressure
Additional Consumer Spending,$8.27B,Cost Pressure
Consumption Crowding-Out,$6.45B,Demand Reduction
Rare Earth Price Increase,177.8%,Industry Cost
Lithium Battery Price Increase,31.5%,Industry Cost
EV Cost Increase,11.02%,Industry Competition
Trade Deficit Improvement,$12.80B,Positive
GDP Direct Impact,$6.57B,Neutral-Positive
GDP Multiplier Impact,$5.95B,Neutral-Positive
Net Employment Change,37710,Potentially Positive
Exchange Rate Change,+1.5%,Neutral
Reshoring Potential Index,33.3/100,Limited
